Time (h),Fg,RPM,Fs,Fa,Fb,Fc,Fh,Fw,pressure,Fremoved,S,DO2,P,V,Wt,pH,T,Q,CO2outgas,Fpaa,PAA_offline,Foil,NH3_offline,OUR,O2,P_offline,X_offline,CER,NH3_shots,Viscosity_offline,Fault_ref,Control_ref,PAT_ref,Batch_ref,Batch_ref
0.2,30,100,8,0,0,0.0001,148.6797524971053,0,0.6,-0,0.9973220910301337,14.69797532879131,0.001,58526.64180854838,61586.86628821651,6.551072685139181,297.7611405769778,135.8401506462279,0.08853401417678794,5,NaN,22,NaN,0.01307863392976235,0.204764615064669,NaN,NaN,0.03258299306340549,0,NaN,0,0,0,0,1
0.4,30,100,8,0,0,0.0001,47.77198460444677,0,0.6,-0,1.043976469703636,14.66994093629474,0.000999538375022758,58523.96383826893,61588.66639403921,6.529709032276056,297.9075862050459,175.2673155618413,0.1002587000432747,5,NaN,22,NaN,-0.04744162074087264,0.2058674755696439,NaN,NaN,0.0369036339903153,0,NaN,0,0,0,0,1
0.6000000000000001,30,100,8,0,0,0.0001,0.0001,0,0.6,-0,1.089079650114917,14.65125243996208,0.0009990733733569455,58521.26794057534,61590.45147752371,6.50923293302984,297.8887466274458,170.1953524039096,0.1042338170594185,5,NaN,22,NaN,-0.05553232643303239,0.2060096849233734,NaN,NaN,0.0383687957654519,0,NaN,0,0,0,0,1
0.8,30,100,8,0,0,0.0001,64.51405480792712,0,0.6,-0,1.132517078227927,14.63305704181792,0.0009986039884478449,58518.54499926962,61592.21709217175,6.489538772493217,298.0978595012338,226.4905484825339,0.1066620013394642,5,NaN,22,NaN,-0.05162027064695787,0.2059319636870846,NaN,NaN,0.03926385852207036,0,NaN,0,0,0,0,1
1,30,100,8,0,4.703564331685262,68.11333681809697,6.451405480792713,0,0.6,-0,1.174079410496119,14.61007461299599,0.0009981153570641358,58516.74414091789,61594.90211702255,6.476673224467739,298.020851604267,205.7597882774486,0.108849684537171,5,1417.057240941284,22,1712.300996415055,-0.04288343497192823,0.2057650168090128,0.001,0.5153349816956208,0.0400703176412515,0,4.082377130981452,0,0,0,0,1
1.2,30,100,8,0,14.53345222839587,43.64699710739214,0.6451405480792713,0,0.6,-0,1.21399893335628,14.58882973129941,0.0009975951175324128,58516.92971583431,61599.5788777977,6.476495148847418,297.9555656291586,188.1845867953675,0.1110691935762921,5,NaN,22,NaN,-0.03369453223207705,0.2055895349927764,NaN,NaN,0.04088855583555772,0,NaN,0,0,0,0,1
1.4,30,100,8,0,24.41480702378186,22.48283008227799,0.06451405480792714,0,0.6,-0,1.2516183011106,14.57157521451633,0.0009970435225999563,58519.105805781,61606.23674256844,6.48789767425248,297.9204896073847,178.7416694449374,0.1133769313669752,5,NaN,22,NaN,-0.02631994438716138,0.2054475707873444,NaN,NaN,0.04173937032021433,0,NaN,0,0,0,0,1
1.6,30,100,8,0,29.73776719747628,6.744849024683395,32.58622136043397,0,0.6,-0,1.287581563311761,14.55429921020064,0.0009964742170957069,58522.33691366346,61613.95408489801,6.50308948406077,298.0205459246998,205.6798196561386,0.1157823111993874,5,NaN,22,NaN,-0.01947010606087874,0.2053151331572161,NaN,NaN,0.04262623776375304,0,NaN,0,0,0,0,1
1.8,30,100,8,0,29.00863251829319,38.54570893861638,3.258622136043397,0,0.6,-0,1.32194196759692,14.54311807871796,0.0009959079925478036,58525.41275483996,61621.52329201217,6.518495815941169,297.9846649099239,196.0189000637143,0.118289090635144,5,NaN,22,NaN,-0.01581112572065621,0.2052418638179249,NaN,NaN,0.04355055048478041,0,NaN,0,0,0,0,1
2,30,100,8,0,22.12838716464423,26.18680863731075,0.3258622136043397,0,0.6,-0,1.354225413149065,14.52275140695325,0.0009953674033085984,58527.12157740111,61627.716579887,6.525584771465295,297.9559610910565,188.2899778933402,0.1209051701207394,5,NaN,22,NaN,-0.009239432115660886,0.2051141215651537,NaN,NaN,0.04451522919335921,0,NaN,0,0,0,0,1
